Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,thi
,,,,,,,,50,531.4607141,4574.755811,5465.384029,2321.879663,249.5956992,285.622227,2942.368682,4828.596057,15683.40282,3670.524679,5775.995257,948.1390049,2351.354966,2974.814327,664.053184,1085.977502,1413.056896,165.568224,98.1114292,5003.953733,27114.62853,1007.695194,7813.761281,248.8114876,49.37689672,834.8037678,659.9047089,52.6622
,,,,,,,,51,535.4021943,4567.474543,5334.613979,2332.241685,250.7403785,287.4577395,2965.537075,4832.371945,15658.50644,3686.439879,5706.916517,936.8082487,2387.541414,3020.766189,674.2859586,1102.689886,1437.464195,168.4412363,99.81406256,5090.312985,26739.32139,1018.692792,7990.047066,254.4170173,50.49697892,851.592375,673.1842641,52.2068
,,,,,,,,52,534.5186508,4496.100187,5174.23591,2310.136389,248.4005232,287.4448684,2969.350145,4755.528327,15385.69621,3671.241348,5575.256484,915.1957734,2395.324329,3030.769501,676.4805042,1106.280245,1447.552326,169.6211497,100.512799,5125.996543,26104.4333,1021.617026,8032.111656,255.7603524,50.76110586,857.8934884,678.1742718,52.2968
,,,,,,,,53,545.8638902,4471.522375,5079.329971,2317.008352,249.184212,295.701571,3058.756247,4717.724889,15259.09167,3740.833989,5509.346964,904.3756971,2447.986263,3097.628938,691.3504458,1130.607212,1491.698356,174.7836804,103.5729124,5282.292983,25703.73417,1049.934495,8163.753665,259.9518046,51.57821026,881.7416101,697.0388372,54.3668
,,,,,,,,54,563.4988961,4451.772857,5012.03211,2331.439747,250.7966782,307.3457108,3183.080303,4666.360621,15106.27823,3846.985047,5475.126623,898.7630826,2513.949403,3181.383148,709.9709137,1161.079685,1549.308161,181.5225749,107.5597988,5486.253943,25312.70831,1089.709938,8270.826362,263.3621931,52.25735207,911.9152496,720.8955998,56.886803
,,,,,,,,55,569.4363616,4391.364217,5012.032906,2302.055825,247.646879,308.8274875,3200.344988,4558.001489,14751.83139,3891.383187,5492.118846,901.5497639,2501.465352,3165.655835,706.433498,1155.315534,1555.420197,182.2279333,107.9705679,5507.959331,24851.88764,1094.499254,8101.365688,257.9518996,51.16448104,908.6741807,718.3386377,58.3128079887184
,,,,,,,,56,576.8717592,4417.538935,5359.822996,2303.686329,247.783126,310.68652,3219.566796,4609.615032,14770.27272,3956.364612,5747.756959,943.5124414,2494.47196,3156.48281,704.4552279,1152.102578,1551.497627,181.7644931,107.6955637,5494.154943,25321.31616,1098.753684,7967.138463,253.6815886,50.30290519,898.5513851,710.3349313,59.241397490576
,,,,,,,,57,575.031476,4420.307299,5608.091629,2282.240116,245.433523,308.8993766,3197.284542,4631.51054,14788.55765,3944.986682,5878.687375,965.0041738,2447.112066,3096.343838,691.0765903,1130.227108,1521.344928,178.2213537,105.5979245,5387.4672,25498.69501,1086.782368,7751.58123,246.8104304,48.954387,876.7996709,693.1340477,59.557062445184
,,,,,,,,58,574.917345,4434.375181,5760.303698,2272.674049,244.3883553,308.6191281,3187.896611,4634.415065,14828.30977,3937.005129,5957.565928,977.9552022,2417.541167,3058.890104,682.7288903,1116.574275,1500.333951,175.7565603,104.1307284,5313.090895,25619.8969,1082.469219,7616.630194,242.5117514,48.09902745,865.1635532,683.9410214,60.405536891852
,,,,,,,,59,565.4035216,4426.944068,5741.358463,2247.556238,241.6629236,302.7100086,3126.155624,4567.900724,14761.68605,3851.497906,5904.53013,969.2477857,2357.499075,2983.036917,665.7619836,1088.838807,1463.974902,171.493865,101.6047865,5184.355688,25541.8284,1061.361475,7430.259211,236.573446,46.9167909,846.4229166,669.124695,60.68934455617293
