date,season,thi_extreme,thi_bin,wind_profile,hour
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.4119,9
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.3857,10
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.3782,11
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.3762,12
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.3765,13
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.377,14
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.3735,15
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.361,16
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.4067,17
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.4688,18
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.4998,19
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.517,20
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.526,21
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.5327,22
2007-01-10,winter,35.7134,"(35.0, 40.0]",0.5415,23
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5527,0
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5615,1
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.572,2
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.58,3
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.586,4
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5957,5
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.608,6
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.625,7
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.645,8
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.6055,9
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5425,10
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5073,11
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.5356,12
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.575,13
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.6074,14
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.634,15
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.716,16
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.8022,17
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.83,18
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.839,19
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.8413,20
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.8413,21
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.841,22
2007-01-11,winter,36.0734,"(35.0, 40.0]",0.839,23
2007-01-12,winter,46.877,"(45.0, 50.0]",0.8345,0
2007-01-12,winter,46.877,"(45.0, 50.0]",0.829,1
2007-01-12,winter,46.877,"(45.0, 50.0]",0.821,2
2007-01-12,winter,46.877,"(45.0, 50.0]",0.8115,3
2007-01-12,winter,46.877,"(45.0, 50.0]",0.8,4
2007-01-12,winter,46.877,"(45.0, 50.0]",0.7856,5
2007-01-12,winter,46.877,"(45.0, 50.0]",0.771,6
2007-01-12,winter,46.877,"(45.0, 50.0]",0.762,7
2007-01-12,winter,46.877,"(45.0, 50.0]",0.7524,8
2007-01-12,winter,46.877,"(45.0, 50.0]",0.723,9
2007-01-12,winter,46.877,"(45.0, 50.0]",0.675,10
2007-01-12,winter,46.877,"(45.0, 50.0]",0.614,11
2007-01-12,winter,46.877,"(45.0, 50.0]",0.565,12
2007-01-12,winter,46.877,"(45.0, 50.0]",0.5347,13
